show_id,title,platform,genre,release_year,season_number,episode_number,episode_duration_min,pacing_score,hook_strength,dialogue_density,visual_intensity,avg_watch_percentage,pause_count,rewind_count,skip_intro,cognitive_load,attention_required,night_watch_safe,drop_off,drop_off_probability,retention_risk,dataset_version
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,1,48,4,5,high,5,39,3,0,0,9,high,0,1,0.649,high,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,2,55,5,4,low,8,55,3,3,1,5,medium,0,0,0.473,medium,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,3,51,4,8,high,7,46,4,2,0,9,high,0,0,0.583,medium,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,4,50,4,7,medium,3,50,4,1,0,7,high,0,0,0.52,medium,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,5,52,4,3,low,4,35,3,0,1,7,high,0,1,0.638,high,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,6,46,4,7,low,8,53,4,5,0,7,high,0,0,0.506,medium,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,7,42,7,4,medium,7,65,1,0,1,5,medium,0,0,0.407,medium,v1.0
66732,Stranger Things,Netflix,Sci-Fi & Fantasy,2016.0,1,8,54,6,3,low,8,55,2,3,1,5,medium,0,0,0.477,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,1,54,6,7,medium,4,72,0,2,0,5,medium,0,0,0.321,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,2,66,4,5,low,3,45,0,3,1,7,high,0,0,0.532,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,3,59,6,3,medium,9,53,2,1,1,5,medium,0,0,0.486,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,4,63,5,7,medium,9,64,2,3,0,5,medium,0,0,0.377,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,5,56,3,8,medium,7,60,5,1,0,7,high,0,0,0.47,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,6,57,3,6,low,7,51,4,2,0,7,high,0,0,0.53,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,7,62,5,8,high,9,60,6,5,0,7,high,0,0,0.48,medium,v1.0
200875,IT: Welcome to Derry,HBO Max,Drama,2025.0,1,8,70,5,7,low,8,65,2,1,0,5,medium,0,0,0.372,medium,v1.0
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025.0,1,1,57,3,5,high,4,20,2,2,0,9,high,0,1,0.725,high,v1.0
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025.0,1,2,57,5,3,low,9,53,4,2,1,5,medium,0,0,0.506,medium,v1.0
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025.0,1,3,56,3,6,medium,6,48,1,2,0,7,high,0,0,0.514,medium,v1.0
